stay_id,begin_of_stay,end_of_stay,persons,room_type,total_price
1,2018-11-23,2018-11-28,1,Double,1140.9
2,2017-09-29,2017-10-06,3,Family,2858.16
3,2023-12-03,2023-12-15,4,Single,826.62
4,2021-06-12,2021-06-22,2,Double,3110.93
5,2023-05-28,2023-06-11,3,Single,1541.97
6,2018-04-18,2018-04-22,1,Double,986.87
7,2021-08-13,2021-08-21,3,Single,2412.91
8,2023-02-23,2023-02-24,4,Single,114.08
9,2018-03-03,2018-03-06,3,Family,1016.29
10,2015-10-28,2015-11-08,2,Double,1749.46
11,2021-11-21,2021-11-28,3,Family,4153.32
12,2015-09-22,2015-09-25,4,Single,522.68
13,2015-08-01,2015-08-05,1,Double,1157.83
14,2017-12-28,2018-01-06,1,Double,1800.66
15,2020-11-12,2020-11-18,1,Double,1548.13
16,2021-02-06,2021-02-13,3,Family,2217.37
17,2015-10-25,2015-10-31,4,Family,2209.61
18,2016-11-04,2016-11-12,1,Single,1448.63
19,2016-06-18,2016-06-28,1,Double,2426.97
20,2019-12-09,2019-12-19,3,Family,3087.91
21,2021-01-16,2021-01-19,2,Double,692.67
22,2017-01-06,2017-01-08,1,Single,223.39
23,2021-09-29,2021-10-08,1,Single,1554.96
24,2023-06-22,2023-07-05,2,Single,3650.39
25,2021-08-26,2021-09-02,2,Single,1128.73
26,2017-04-04,2017-04-18,1,Single,1591.59
27,2019-07-27,2019-08-01,1,Single,1736.64
28,2016-12-28,2017-01-09,1,Double,1720.62
29,2018-10-22,2018-11-01,2,Double,3123.74
30,2016-06-04,2016-06-05,1,Double,318.89
31,2021-02-28,2021-03-11,1,Double,2891.97
32,2018-05-12,2018-05-20,2,Double,1935.79
33,2018-11-01,2018-11-05,3,Single,628.78
34,2020-10-06,2020-10-08,4,Single,364.04
35,2019-05-15,2019-05-25,2,Single,2391.27
36,2021-09-15,2021-09-23,2,Double,2258.72
37,2018-06-11,2018-06-17,1,Single,889.59
38,2017-11-21,2017-12-04,4,Family,6293.53
39,2021-04-14,2021-04-28,2,Double,4677.44
40,2022-09-12,2022-09-14,3,Single,559.39
41,2018-07-13,2018-07-19,2,Double,1980.86
42,2021-11-29,2021-12-07,3,Family,3487.46
43,2016-05-14,2016-05-15,1,Double,236.51
44,2019-07-19,2019-07-25,3,Family,3928.11
45,2016-02-23,2016-02-29,1,Double,959.82
46,2017-04-11,2017-04-15,4,Family,1551.93
47,2020-12-24,2021-01-02,2,Double,1741.74
48,2021-05-21,2021-06-03,4,Single,3079.8
49,2015-10-17,2015-10-28,3,Family,3192.7
50,2020-09-11,2020-09-22,1,Double,3128.64
51,2019-06-24,2019-07-08,4,Family,6946.46
52,2016-07-26,2016-08-09,4,Single,2680.78
53,2022-01-12,2022-01-19,1,Single,1394.52
54,2019-11-07,2019-11-11,4,Family,1725.15
55,2019-12-25,2019-12-28,2,Double,480.23
56,2016-03-13,2016-03-18,4,Single,1256.22
57,2015-07-09,2015-07-16,2,Single,1023.55
58,2020-09-07,2020-09-19,1,Double,3774.6
59,2022-10-04,2022-10-09,4,Single,700.59
60,2016-01-15,2016-01-17,2,Double,299.51
61,2016-10-16,2016-10-27,3,Family,3326.11
62,2017-08-12,2017-08-26,4,Family,6768.26
63,2021-08-04,2021-08-14,1,Single,3422.28
64,2023-05-01,2023-05-15,1,Single,2236.14
65,2022-11-26,2022-11-29,3,Single,365.69
66,2016-02-14,2016-02-18,2,Single,367.97
67,2016-06-22,2016-06-25,3,Single,747.5
68,2023-02-06,2023-02-18,3,Single,1843.18
69,2021-10-30,2021-11-04,4,Single,748.08
70,2017-09-04,2017-09-11,4,Family,2752.67
71,2023-12-03,2023-12-09,3,Family,2118.57
72,2019-01-18,2019-01-28,1,Single,1467.84
73,2016-05-06,2016-05-20,4,Family,6242.03
74,2023-11-11,2023-11-24,1,Double,3134.76
75,2018-01-18,2018-01-19,3,Single,84.2
76,2021-12-07,2021-12-10,4,Single,389.49
77,2017-09-18,2017-09-28,2,Double,2450.68
78,2023-01-05,2023-01-18,1,Single,1108.1
79,2021-05-10,2021-05-17,4,Single,1382.0
80,2015-10-29,2015-11-07,1,Double,1585.72
81,2021-07-19,2021-07-29,2,Single,2157.7
82,2022-06-21,2022-06-29,4,Single,1850.45
83,2018-01-02,2018-01-11,2,Single,792.84
84,2021-11-07,2021-11-13,1,Double,1599.99
85,2016-08-10,2016-08-11,4,Family,611.98
86,2017-11-03,2017-11-14,3,Family,5150.37
87,2017-08-11,2017-08-20,3,Single,2216.0
88,2022-10-18,2022-10-26,1,Double,2101.19
89,2018-11-24,2018-11-29,2,Single,714.71
90,2020-11-02,2020-11-10,3,Single,1374.66
91,2019-02-19,2019-02-20,3,Single,71.02
92,2020-02-29,2020-03-07,3,Single,751.72
93,2021-06-13,2021-06-22,1,Single,2227.92
94,2017-08-08,2017-08-17,1,Double,2992.36
95,2017-02-08,2017-02-14,1,Single,785.82
96,2022-07-31,2022-08-03,3,Single,465.39
97,2019-12-17,2019-12-19,2,Single,232.44
98,2019-04-29,2019-05-06,4,Single,1712.31
99,2022-05-04,2022-05-17,4,Single,1467.51
100,2019-03-20,2019-03-23,3,Single,541.19
101,2023-07-11,2023-07-13,1,Single,529.97
102,2015-06-23,2015-06-28,1,Double,1432.03
103,2022-06-02,2022-06-15,2,Double,3973.27
104,2015-03-29,2015-04-11,1,Double,4040.91
105,2017-10-24,2017-11-06,1,Single,2360.34
106,2018-02-06,2018-02-18,4,Family,2702.2
107,2019-11-04,2019-11-07,3,Single,504.64
108,2022-10-08,2022-10-14,4,Family,3436.96
109,2023-07-07,2023-07-16,3,Family,6624.53
110,2022-04-05,2022-04-18,3,Single,2927.88
111,2016-04-30,2016-05-03,4,Family,1033.58
112,2023-11-04,2023-11-15,3,Single,2195.16
